hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate
0-1,6,286,64,1955,54,1864,0,0,30,1431,66,3000,6,375,34,1416,113,1647,18,625,0,0
1-2,6,286,64,1908,54,1743,0,0,30,1515,66,2875,6,375,34,1622,86,1629,6,354,0,0
2-3,6,272,64,2209,54,1800,0,0,30,1583,66,3150,6,302,34,1481,90,1551,6,375,0,0
3-4,6,272,64,1335,54,1800,396,1249,30,1181,66,2875,6,375,34,1481,86,1686,6,428,0,0
4-5,6,286,64,2209,54,1864,0,0,30,1431,66,2470,6,401,34,756,130,1536,24,693,0,0
5-6,19,380,32,2285,0,0,0,0,3,300,9,589,3,333,0,0,43,1399,328,1854,0,0
6-7,445,1546,153,1143,1046,2162,122,1510,1021,3291,1391,2952,136,854,1101,2803,22652,6252,255,1244,0,0
7-8,273,828,92,1371,633,1092,12897,1692,707,1600,997,1600,130,521,1067,2044,53335,3957,270,1362,0,0
8-9,18,185,176,1010,963,557,24,386,1040,1563,1830,1704,154,864,1025,2630,39119,1789,129,415,0,0
9-10,39,167,204,444,616,813,219,1322,688,692,1322,2602,183,918,618,2548,32339,2132,141,231,0,0
10-11,15,245,182,1543,484,1837,0,0,437,2475,685,3494,35,577,498,2297,5910,2833,120,1120,0,0
11-12,85,804,505,1447,2744,3002,325,3899,2499,4463,5022,6003,490,1776,3236,4591,98022,8532,243,1302,0,0
12-13,60,621,240,1198,1180,2386,357,3741,823,3670,1909,4131,293,2229,1794,4984,65768,6319,273,1356,0,0
13-14,51,587,357,1461,1039,2977,116,2428,841,4531,1880,5601,254,1446,1171,4224,47356,5141,126,855,0,0
14-15,12,304,153,1603,390,2374,0,0,404,3199,600,3533,38,596,233,2706,1580,4240,27,486,0,0
15-16,41,531,193,1784,577,3146,668,3348,434,3669,1121,3393,179,1882,774,3407,34872,6555,126,1101,0,0
16-17,6,333,64,2564,54,1808,0,0,30,1770,66,3102,6,244,34,2006,86,1753,6,428,0,0
17-18,50,372,300,1903,902,2789,94,2086,736,3357,1497,2751,189,1801,964,4282,42505,6239,261,1300,0,0
18-19,6,286,64,2084,60,1485,1113,4336,30,1458,66,2583,6,464,46,1640,35246,4719,177,1643,0,0
19-20,24,411,142,1359,398,2163,47,2141,324,4083,733,5511,91,1593,467,3423,17567,5930,42,584,0,0
20-21,16,477,74,2053,154,2406,0,0,137,4080,281,4672,16,1026,106,3318,627,3749,413,2545,0,0
21-22,24,501,142,1416,398,2712,47,2250,324,2673,733,5762,91,1328,467,3019,17165,6102,48,729,0,0
22-23,49,810,308,2099,719,1760,381,4433,537,2839,1282,3854,270,1857,918,4088,41911,8232,135,1120,0,0
23-24,27,435,184,1667,525,2313,47,2263,446,4461,981,5378,104,1672,556,3672,17414,6651,57,850,0,0
