hour,ar,assignedproduct,collection,customer,customerservice,invoice,order,product,usage,frameworkagreement,b2bfulfillment,resourcemanagement,total_record_count,rate
0-1,0,0,0,0,0,0,1,0,0,0,73,0,74,0
4-5,0,0,48,0,0,0,0,0,0,0,0,0,48,0
5-6,0,0,92,0,0,0,5,0,0,0,0,196,293,0
6-7,0,0,0,0,0,0,6,0,0,0,0,2506,2512,0
7-8,0,0,0,0,0,0,0,0,0,0,0,1293,1293,0
8-9,0,2350,0,89,0,0,172,0,0,1684,87,4894,9276,2
9-10,0,2205,0,34,0,0,113,0,0,1077,46,3873,7348,2
10-11,0,985,0,84,0,0,78,0,0,1260,1275,2939,6621,0
11-12,0,2791,0,104,0,0,252,0,0,3493,62,1940,8642,2
12-13,0,2757,0,41,0,0,155,0,0,1892,0,1706,6551,2
13-14,0,1378,0,26,0,0,70,0,0,942,317,389,3122,1
14-15,0,7099,0,89,0,0,462,0,0,8617,563,952,17782,4
15-16,0,2573,0,85,0,0,166,0,0,2896,63,987,6770,0
16-17,0,7902,0,312,0,12,502,0,0,7408,37604,1456,55196,14
17-18,0,2328,0,519,0,15,185,0,0,1537,58847,2119,65550,19
18-19,16,7036,0,581,7,1,695,0,0,9056,80029,1792,99213,26
19-20,4,4991,0,310,12,5,414,0,0,7349,16825,1546,31456,10
20-21,0,1651,0,90,0,0,141,0,0,1818,2126,255,6081,1
21-22,4086,173,104956,364,0,0,70,0,0,197,79472,186,189504,66
22-23,4,1448,122,312,6,6,119,0,0,879,27395,712,31003,16
23-24,0,0,0,0,0,0,0,0,0,0,0,553,553,0
