hour,bcmapp_record_count,bcmapp_processing_rate,crmapp_record_count,crmapp_processing_rate,omsapp_record_count,omsapp_processing_rate,armapp_record_count,armapp_processing_rate,cpq1app_record_count,cpq1app_processing_rate,cpq2app_record_count,cpq2app_processing_rate,cpq3app_record_count,cpq3app_processing_rate,cpq4app_record_count,cpq4app_processing_rate,odoapp_record_count,odoapp_processing_rate,asmapp_record_count,asmapp_processing_rate,tc_record_count,tc_processing_rate,Date
0-1,15,1250,175,6960,25,2775,1530,29655,90,11250,165,16500,95,2975,380,9350,11555,28595,45,1225,0,0,20250130110318
1-2,15,1360,240,5330,815,18520,0,0,565,33235,2580,61425,125,6940,380,22150,215,9330,15,1150,0,0,20250130110318
2-3,15,1665,240,4510,455,16850,65,7220,315,31500,1075,46735,140,5205,400,11155,215,8045,15,1070,0,0,20250130110318
3-4,15,1500,235,7545,905,9970,0,0,875,12235,2240,19145,185,4535,1010,16305,5825,24765,45,1625,0,0,20250130110318
4-5,120,3045,815,10700,5370,16675,1035,13775,150,8850,390,9500,310,6195,1205,20460,64135,25720,600,5845,0,0,20250130110318
5-6,710,5450,1810,7285,23825,17125,135175,33395,31005,28385,42715,37135,2870,9415,28400,26760,598095,36280,1635,5400,0,0,20250130110318
6-7,4685,6835,1165,6375,8865,13025,50285,35700,6555,25940,15905,22315,1505,8255,15390,27720,223235,32330,3295,7695,0,0,20250130110318
7-8,3090,8770,3745,9510,35135,14890,29890,24800,34605,31290,50445,27915,4215,12700,39025,30135,1125695,39935,3810,8720,0,0,20250130110318
8-9,465,5015,1845,7335,7855,15260,32520,36505,6150,18560,13370,25540,1840,11030,7425,21360,365855,33590,1560,5365,0,0,20250130110318
9-10,2465,7930,2990,8925,27435,18510,53130,38345,28580,34855,47150,42655,3375,12930,24275,28030,414305,36760,1920,6850,0,0,20250130110318
10-11,5060,11580,2325,6985,45150,19185,43925,34480,49220,33250,51910,33195,3135,12005,41975,32115,1193945,43050,5895,11255,0,0,20250130110318
11-12,3740,9200,3525,8480,43445,18860,64000,34230,45105,31630,63135,40535,4420,11440,44030,30660,990835,44130,4965,9880,0,0,20250130110318
12-13,1945,4680,1850,8400,21540,16575,15010,25810,23400,26050,34260,30815,3375,11125,36325,26790,871780,40675,3255,9770,0,0,20250130110318
13-14,5455,12195,1065,5670,50885,18040,61945,35335,34480,29010,40100,30130,2425,11475,34120,31970,537745,40895,2830,8630,0,0,20250130110318
14-15,1275,7680,1270,7520,10090,13925,25125,38090,7150,20595,13375,21175,1430,8410,11550,18140,447455,35230,1980,6345,0,0,20250130110318
15-16,90,3125,530,6410,9450,11610,15195,30020,8550,21455,11520,23255,775,5695,14245,24125,23405,26765,135,2250,0,0,20250130110318
16-17,1155,17425,430,9410,4305,13420,25135,30250,5470,25050,5675,19850,665,8875,3970,22300,143865,34315,630,4385,0,0,20250130110318
17-18,45,1065,570,7735,3165,11635,6200,20240,3240,17470,5810,20230,370,4505,2510,16670,7680,20475,330,2785,0,0,20250130110318
18-19,1470,20830,20,2220,2570,16180,37725,37000,3825,24350,2540,21635,110,6110,1700,24905,34050,30430,1395,9615,0,0,20250130110318
19-20,85,2375,150,3395,4595,14365,11315,21225,6225,30865,5225,20180,585,8305,4535,22705,230250,33990,1975,8975,0,0,20250130110318
20-21,1165,13015,485,8390,2480,15970,12900,34030,1080,14010,2620,20005,165,6455,2770,23775,232975,35070,1005,6130,0,0,20250130110318
21-22,35790,17070,490,4345,1190,14960,9325,49855,1535,29375,2115,26910,210,5080,785,13615,29870,32180,930,9810,0,0,20250130110318
22-23,55,3055,30,1665,520,15360,235,12360,395,15000,590,10950,120,4750,635,18910,3820,28855,1845,13375,0,0,20250130110318
0-1,0,0,0,0,0,0,47,2236,0,0,0,0,0,0,0,0,190,2575,0,0,0,0,20250131060234
2-3,6,286,56,1438,54,2842,1404,7982,30,1666,66,3666,6,316,40,2500,104,1785,6,333,0,0,20250131060234
3-4,3,272,31,2583,27,1500,662,9019,15,1875,33,3666,3,333,20,2222,70,1675,3,333,0,0,20250131060234
4-5,15,327,185,1959,779,3285,722,3331,30,1875,66,3483,88,1209,154,3407,9090,6553,153,1361,0,0,20250131060234
5-6,282,1614,229,1282,3079,2884,26260,6137,3682,5447,6178,5604,456,2004,4245,5888,165187,8828,555,1469,0,0,20250131060234
6-7,44,419,95,1387,514,2553,2803,6172,431,4235,1139,4786,170,2005,722,5407,57161,7535,506,1807,0,0,20250131060234
7-8,1356,2537,464,1850,3246,3135,821940,11457,2704,4979,4545,5225,412,1522,3374,5253,129251,8528,843,1979,0,0,20250131060234
8-9,496,1828,385,1897,2115,3151,37411,5471,1599,4948,4262,5285,536,2187,3029,6018,108236,7987,742,1958,0,0,20250131060234
9-10,223,930,463,1671,2966,3261,376108,12931,3236,5216,4662,6545,350,1476,2571,5072,63436,7426,351,1368,0,0,20250131060234
10-11,429891,8518,61931,7402,130646,4276,60481,9118,52367,8561,66560,8768,5923,3847,46711,7259,186563,9873,1431,2268,0,0,20250131060234
11-12,526652,8011,72561,7274,142442,4753,1930739,20918,69151,9175,64449,8166,5808,3700,49941,7588,368174,10523,1572,2305,0,0,20250131060234
12-13,581157,8966,84464,9142,131784,4409,1406677,21381,70446,8959,55184,8369,5048,3995,42800,7331,247737,9934,1407,2712,0,0,20250131060234
13-14,785154,9025,111130,9653,169271,4726,7858,7224,94251,9262,58721,7388,5329,4367,48247,7253,143844,8643,845,2072,0,0,20250131060234
14-15,144225,5664,26305,5416,40769,3745,4203,5510,23638,6807,17258,6659,1550,2136,13144,5557,82535,7936,972,2283,0,0,20250131060234
15-16,215,1558,218,1905,2022,3420,2576,4995,2710,6486,2450,4477,124,1737,1310,4832,13337,4658,189,983,0,0,20250131060234
16-17,788,2085,497,1519,2539,3059,6508,7544,2770,4752,3891,6244,411,2160,2399,5234,65535,8426,384,1080,0,0,20250131060234
17-18,842,2709,490,1609,2038,3261,2346,5037,2556,4758,3069,5094,420,1997,2561,5247,62341,8484,309,1274,0,0,20250131060234
18-19,41,988,47,1075,1406,2633,3271,5255,1824,4737,2084,5110,230,2017,1595,4114,65689,8411,162,679,0,0,20250131060234
19-20,247,2757,199,1366,792,2966,5191,7016,877,4798,1197,4966,215,2253,846,4084,132734,7962,392,1251,0,0,20250131060234
20-21,570,2785,54,891,788,2766,2332,6166,777,3564,1215,4149,95,1434,653,3989,31458,6469,84,595,0,0,20250131060234
21-22,211,2808,53,2241,944,3194,13518,6360,976,5497,860,4019,51,1376,901,5126,39023,5296,117,1673,0,0,20250131060234
22-23,13,650,30,1333,477,2732,47,2472,468,5727,423,1916,30,875,388,3384,5273,3680,378,2253,0,0,20250131060234
23-24,0,0,3,140,4,400,0,0,6,750,4,500,0,0,6,120,102,2000,0,0,0,0,20250131060234
0-1,98924,940,0,0,0,0,95,1950,0,0,0,0,0,0,0,0,995,3883,167,2836,0,0,20250201060027
1-2,0,0,27880,51,128,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20250201060027
2-3,9,178,91,478,108,533,47,469,54,880,33,282,22,358,82,651,333,1057,9,105,0,0,20250201060027
3-4,8,299,64,786,306,1433,32,858,277,1187,876,2157,70,750,84,738,3067,2818,9,266,0,0,20250201060027
4-5,47,381,294,907,1297,2241,2233,2891,1260,3005,2369,3403,388,1303,2315,3126,76938,6294,651,1260,0,0,20250201060027
5-6,2554,1852,583,1267,5717,3414,30853,6017,5109,4906,7009,5689,695,1645,6182,4779,137508,8454,843,1796,0,0,20250201060027
6-7,1241,1634,569,1287,3050,3085,6445,5647,2465,4207,3975,5287,572,1932,3649,4223,159330,7946,1112,2244,0,0,20250201060027
7-8,1146,1975,53900,2492,5697,3390,9112,4891,6128,5593,8398,6097,788,1743,6383,4751,173129,7728,507,1537,0,0,20250201060027
8-9,1670,2513,651,1632,4124,3707,6687,5776,3656,4849,4636,5052,805,2271,4654,5538,334498,8806,1098,2677,0,0,20250201060027
9-10,1747,2146,836,1689,4618,3310,10948,6533,4583,6083,7252,6908,769,2476,5264,4397,224967,8400,720,2076,0,0,20250201060027
10-11,1349,2710,488,1723,4798,3713,15912,6833,3937,6006,5155,5909,479,2202,5459,5269,200583,8336,996,2297,0,0,20250201060027
11-12,2792,3613,321,1477,3768,3440,5837,5711,1833,4741,3314,4893,486,2047,3961,5381,189409,9328,954,2777,0,0,20250201060027
12-13,556,1606,533,1681,4375,3594,4729,5694,3306,5235,5365,5976,525,1964,4580,5351,188290,8961,1116,2564,0,0,20250201060027
13-14,2393,3153,922,2020,4863,3704,6799,5751,4218,6008,5528,5992,685,2210,3995,5306,149017,9037,1007,2351,0,0,20250201060027
14-15,726,1736,428,1343,2621,3066,7752,6341,1582,3481,2770,4470,400,1609,2939,4947,117356,7917,531,1849,0,0,20250201060027
